segmentId,newSegmentId,speedLimit,frc,distance,lat,lon,timeSet,timeSetName,dateRange,averageSpeed,medianSpeed,harmonicAverageSpeed,standardDeviationSpeed,averageTravelTime,medianTravelTime,travelTimeRatio,sampleSize,travelTimeStandardDeviation,speedP5,speedP10,speedP15,speedP20,speedP25,speedP30,speedP35,speedP40,speedP45,speedP50,speedP55,speedP60,speedP65,speedP70,speedP75,speedP80,speedP85,speedP90,speedP95
15040010853104,d7579fc7-b940-4fb6-a615-1e2a9332291a,60,4,16.37,33.5451,-7.6601,4,16:00-21:00,1,38.8,38.0,33.1,14.0,1.78,1.55,0.95,1779,1.11,18,21,25,28,31,33,34,36,37,38,39,41,42,43,45,47,50,55,62
15040010865647,d7964c01-e8dd-4120-a3cf-8f14d6b87b07,21,7,5.65,33.56661,-7.66174,4,16:00-21:00,1,24.9,23.0,20.5,10.4,0.99,0.88,0.85,98,0.49,9,12,15,17,18,19,20,20,22,23,24,26,27,30,31,33,36,41,47
15040010815787,d7baf6bb-728a-4ac8-aff3-4f18866e8325,60,6,21.28,33.57106,-7.68433,4,16:00-21:00,1,26.3,26.0,22.8,7.3,3.37,2.95,0.99,826,2.83,15,18,20,21,23,23,24,25,25,26,27,28,29,29,30,32,32,34,38
15040010911679,d7c1dca0-3176-46b7-a6bc-3f0804295176,60,4,60.4,33.55881,-7.68024,4,16:00-21:00,1,16.8,15.0,8.1,11.8,26.91,14.5,1.05,2996,28.24,3,4,4,5,6,7,8,10,13,15,18,20,22,22,24,27,30,34,38
15040010545725,d7d453b0-136e-4e60-a1ac-3a34e4d1fa99,60,4,11.27,33.54619,-7.65594,4,16:00-21:00,1,44.6,43.0,38.6,13.9,1.05,0.94,1.03,4172,0.7,24,29,32,34,35,37,38,40,41,43,45,47,49,51,54,57,61,64,69
15040010911176,d80fc086-7ea8-47c0-92b3-b5e83d7e5c2b,60,7,41.13,33.55367,-7.66756,4,16:00-21:00,1,28.8,31.0,7.7,15.0,19.18,4.78,1.21,157,54.34,2,4,8,16,21,25,26,28,29,31,33,34,36,37,39,40,42,45,49
15040010797233,d89058cb-f8cd-4bf3-9298-4b73e901d012,60,3,27.36,33.54982,-7.66664,4,16:00-21:00,1,47.2,49.0,40.0,13.9,2.46,2.01,1.04,3546,3.23,23,28,32,36,39,42,44,46,47,49,50,51,53,54,56,57,59,62,67
15040010629643,d8e94c42-75ef-41e8-9809-91117e64245a,60,7,105.17,33.56109,-7.65072,4,16:00-21:00,1,40.0,41.0,33.6,11.5,11.26,9.23,0.99,3507,16.74,19,24,28,31,34,36,37,39,40,41,43,44,45,46,47,49,51,53,57
15040011040604,d9e59ef1-1584-42d7-8e6b-6d251ec006a8,18,7,31.78,33.54753,-7.67695,4,16:00-21:00,1,16.2,14.0,12.9,8.5,8.86,8.17,0.95,32,4.25,6,8,9,10,10,11,12,13,14,14,14,17,17,18,18,19,24,28,36
15040010616717,d9fbd4f4-d309-4c64-a0da-b4a205a0b1a3,60,7,33.75,33.57632,-7.67449,4,16:00-21:00,1,22.7,20.0,14.8,14.7,8.19,6.07,0.71,53,8.98,7,11,12,13,14,15,16,17,18,20,21,21,22,25,26,27,34,35,65
