segmentId,newSegmentId,speedLimit,frc,distance,lat,lon,timeSet,timeSetName,dateRange,averageSpeed,medianSpeed,harmonicAverageSpeed,standardDeviationSpeed,averageTravelTime,medianTravelTime,travelTimeRatio,sampleSize,travelTimeStandardDeviation,speedP5,speedP10,speedP15,speedP20,speedP25,speedP30,speedP35,speedP40,speedP45,speedP50,speedP55,speedP60,speedP65,speedP70,speedP75,speedP80,speedP85,speedP90,speedP95
-15040002602801,-00004d41-3200-0400-0000-0000004c5328,60,3,55.48,33.57682,-7.67325,3,5:00-9:00,1,35.4,35.0,28.9,10.6,6.91,5.71,0.74,1695,10.1,19,22,25,27,29,30,32,33,34,35,36,38,39,40,42,44,46,49,53
-15040002602801,-00004d41-3200-0400-0000-0000004c5328,60,3,55.48,33.57682,-7.67325,4,16:00-21:00,1,24.3,24.0,19.5,8.7,10.27,8.32,1.1,10255,10.68,11,13,15,17,19,20,21,22,23,24,25,26,28,29,30,31,33,35,39
-15040002602801,-00004d41-3200-0400-0000-0000004c5328,60,3,55.48,33.57682,-7.67325,5,22:00-24:00,1,29.7,30.0,26.0,8.8,7.7,6.66,0.83,3959,5.96,16,19,21,22,24,25,26,28,29,30,31,32,33,34,35,37,38,40,44
-15040002602801,-00004d41-3200-0400-0000-0000004c5328,60,3,55.48,33.57682,-7.67325,6,0:00-4:00,1,37.7,37.0,34.2,9.8,5.84,5.4,0.63,4585,3.87,23,26,28,30,31,33,34,35,36,37,38,40,41,42,43,45,47,50,54
-15040003349197,-00004d41-3200-0400-0000-0000004c5646,60,7,16.25,33.5738,-7.68139,2,10:00-16:00,1,10.7,11.0,8.1,5.0,7.22,5.32,1.0,7,4.99,3,3,6,6,6,10,10,10,11,11,11,12,12,12,13,13,13,19,19
-15040003349197,-00004d41-3200-0400-0000-0000004c5646,60,7,16.25,33.5738,-7.68139,3,5:00-9:00,1,27.0,27.0,27.0,0.0,2.17,2.17,0.3,1,0.0,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
-15040003349197,-00004d41-3200-0400-0000-0000004c5646,60,7,16.25,33.5738,-7.68139,4,16:00-21:00,1,10.3,9.7,9.0,3.8,6.49,6.04,0.9,10,2.57,5,5,6,6,7,7,8,8,10,10,10,10,13,13,13,13,15,15,16
-15040003349197,-00004d41-3200-0400-0000-0000004c5646,60,7,16.25,33.5738,-7.68139,5,22:00-24:00,1,24.0,24.0,24.0,0.0,2.44,2.44,0.34,1,0.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
-15040003349197,-00004d41-3200-0400-0000-0000004c5646,60,7,16.25,33.5738,-7.68139,6,0:00-4:00,1,22.0,22.0,22.0,0.0,2.66,2.66,0.37,1,0.0,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
-15040003213381,-00004d41-3200-0400-0000-0000004c5647,60,7,22.59,33.5738,-7.68139,2,10:00-16:00,1,18.0,15.0,17.5,3.5,4.65,5.42,1.0,4,0.89,15,15,15,15,15,15,15,15,15,15,21,21,21,21,21,21,21,21,21
